trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5499999999999999, 'e': 0.85}",30,0,-170.66023715351693,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.49999999999999994, 'e': 0.7999999999999999}",25,0,-142.61974531933043,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.44999999999999996, 'e': 0.7499999999999999}",20,0,-138.77564204890402,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.39999999999999997, 'e': 0.6999999999999998}",20,13,-21.336197191142062,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.35, 'e': 0.6499999999999998}",20,2,-19.94712410072064,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.5999999999999998}",20,0,-70.2874817594472,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.5499999999999997}",20,8,-63.38575175966854,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.2, 'e': 0.4999999999999997}",20,0,-39.648383659960054,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.15000000000000002, 'e': 0.44999999999999973}",25,0,-145.01138306646214,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.10000000000000002, 'e': 0.39999999999999974}",20,0,-151.3905019588631,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
11,False,"{'a': 0.05000000000000002, 'e': 0.34999999999999976}",20,0,-114.34025370591219,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 1.3877787807814457e-17, 'e': 0.29999999999999977}",25,0,-188.7869494754732,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 4}",0
13,False,"{'a': -0.04999999999999999, 'e': 0.24999999999999978}",20,0,-80.0418151215822,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': -0.09999999999999999, 'e': 0.1999999999999998}",20,4,1.9955485551290382,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': -0.15, 'e': 0.1499999999999998}",25,0,-72.43272562762236,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': -0.2, 'e': 0.0999999999999998}",30,0,-92.48183381312187,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': -0.25, 'e': 0.049999999999999795}",25,3,-42.26848275603575,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': -0.3, 'e': -2.0816681711721685e-16}",20,0,-90.63236832738397,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': -0.35, 'e': -0.05000000000000021}",20,0,-66.80857216198014,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': -0.39999999999999997, 'e': -0.10000000000000021}",20,0,-81.86303120033902,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': -0.44999999999999996, 'e': -0.15000000000000022}",20,0,-110.00384378890685,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': -0.49999999999999994, 'e': -0.20000000000000023}",30,0,-98.11998383029392,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': -0.5499999999999999, 'e': -0.2500000000000002}",30,0,6.745657016766954,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': -0.6, 'e': -0.3000000000000002}",25,0,-176.20118896005044,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
5,True,"{'a': -0.65, 'e': -0.3500000000000002}",25,0,-92.12884952962212,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': -0.7000000000000001, 'e': -0.4000000000000002}",25,0,-225.8173809042541,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': -0.7500000000000001, 'e': -0.4500000000000002}",25,0,-263.6468692082512,"{0: 9, 1: 6, 2: 3, 3: 3, 4: 4}",0
8,True,"{'a': -0.8000000000000002, 'e': -0.5000000000000002}",20,0,-196.29716891259312,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': -0.8500000000000002, 'e': -0.5500000000000003}",30,0,-298.0280833579624,"{0: 14, 1: 3, 2: 4, 3: 5, 4: 4}",0
10,True,"{'a': -0.9000000000000002, 'e': -0.6000000000000003}",20,5,-87.47706925847429,"{0: 6, 1: 4, 2: 2, 3: 3, 4: 0}",1
