trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",25,0,-123.36945833723601,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-128.70105224351957,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,3,-145.88739626329843,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 2}",1
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",35,0,-319.9459208975562,"{0: 14, 1: 7, 2: 6, 3: 4, 4: 4}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",25,0,-163.94306038452032,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,0,-101.5610467399038,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",30,0,-240.1908727048764,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-135.3648087650031,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,0,-128.87022576252738,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",20,0,-182.9196516528257,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,1,-75.88138254125347,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-50.829407135926296,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,0,-80.27345998962949,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",30,0,-160.2551349297658,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,0,-112.4719444204861,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
