trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-55.30694635620837,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,2,-171.33433539376608,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 3}",1
3,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-200.27613737798822,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",20,0,-49.544839900851485,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",30,0,-185.2385370006003,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",30,12,-59.20140830369518,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-50.22093726763431,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,0,-181.83743694625386,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
9,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359596}",25,0,-156.6813739895856,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,0,-234.68714524953685,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",25,3,-16.819094651195854,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,0,-51.29434050487025,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-88.36944221565477,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",35,0,-118.50767950039796,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,0,-57.668618925128825,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",25,0,-134.19752871332102,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,0,-59.90594592486994,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",20,0,-67.19484205047951,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,0,-198.72607439202568,"{0: 6, 1: 6, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",30,15,-16.705387208102252,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",25,0,-115.98836037416528,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
22,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",20,14,-0.971079615632561,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",30,0,-222.98376058872694,"{0: 13, 1: 5, 2: 7, 3: 3, 4: 2}",0
24,False,"{'a': 0.9753099120283327, 'e': 0.7788007830714049}",30,0,-124.10945103572648,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",20,3,-30.898162294643125,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",25,13,-104.00783343749067,"{0: 6, 1: 0, 2: 3, 3: 2, 4: 1}",1
27,False,"{'a': 0.9723883668012469, 'e': 0.7557837414557255}",20,0,-36.25909680928332,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.9714164644666048, 'e': 0.7482635675785653}",25,2,-86.90092083339874,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 0}",1
29,False,"{'a': 0.9704455335485082, 'e': 0.7408182206817179}",30,10,-98.26514586733612,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
30,False,"{'a': 0.9694755730760259, 'e': 0.7334469562242892}",20,0,-94.54459017336818,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.9685065820791976, 'e': 0.7261490370736909}",30,0,-52.41934873210244,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.967538559589032, 'e': 0.7189237334319262}",25,1,-85.33462737980794,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 1}",1
33,False,"{'a': 0.9665715046375066, 'e': 0.7117703227626097}",30,0,-151.4667201540934,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
